OBJECTID,Join_Count,TARGET_FID,PERMIT_YEAR,Class,PROJECT_DESCRIPTION,FINALED_DATE,CONTRACTOR,TOTAL_PAID,SUBAREA,NEIGHBORHOOD_AREA,Lat,Lon,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng
12,1,12,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-02-21,ELECTRI-CITY INC,112,Southwest Bellevue,West Bellevue,47.592982,-122.201164,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
13,1,13,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-30,PUGET SOUND SOLAR LLC,112,Eastgate,Lake Hills,47.589589,-122.155451,53,033,023604,53033023604,236.04,Census Tract 236.04,G5020,S,2940216,0,+47.5993896,-122.1539499,27994.02792
14,1,14,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-26,LINDER ELECTRIC INC,115,Richards Valley,Woodridge,47.591076,-122.166718,53,033,023500,53033023500,235,Census Tract 235,G5020,S,2273132,0,+47.5913824,-122.1728599,21843.19463
15,1,15,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-29,ELECTRI-CITY INC,110,Northeast Bellevue,Northeast Bellevue,47.644581,-122.1121,53,033,022901,53033022901,229.01,Census Tract 229.01,G5020,S,1484063,0,+47.6366077,-122.1183943,19264.04212
16,1,16,2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), WIRE 50AMP, 240V CIRCUIT FOR CAR CHARGER",2017-10-17,PROVIDENT ELECTRIC INC,108,North Bellevue,Northwest Bellevue,47.624208,-122.196828,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
17,1,17,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-02-15,Red's Electrical Service Inc,112,Newcastle,Cougar Mountain / Lakemont,47.564367,-122.110842,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
18,1,18,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage/Family Room",2012-09-18,PRIME ELECTRIC INC,102,Southeast Bellevue,Lake Hills,47.592727,-122.145912,53,033,023401,53033023401,234.01,Census Tract 234.01,G5020,S,3740203,0,+47.5867489,-122.1467322,29383.38189
19,1,19,2018,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2018-10-29,IN-HOUSE ELECTRICAL SRVCS INC,115,Newcastle,Eastgate,47.568123,-122.132279,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
20,1,20,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-14,PUGET SOUND SOLAR LLC,105,Factoria,Newport,47.570553,-122.189568,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
21,1,21,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-28,NW ELECTRICAL LLC,110,Newport Hills,Newport,47.542208,-122.176613,53,033,024702,53033024702,247.02,Census Tract 247.02,G5020,S,6392898,797574,+47.5396242,-122.1897607,42350.3129
22,1,22,2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, GARAGE",2012-01-04,HOLMES ELECTRIC CO,98,Factoria,Newport,47.572625,-122.179507,53,033,024701,53033024701,247.01,Census Tract 247.01,G5020,S,2739207,0,+47.5614775,-122.1808594,30173.28144
23,1,23,2015,Single family,Vehicle Charging Station,2015-08-04,NORTHWEST ELECTRIC & SOLAR,108,Factoria,Somerset,47.560298,-122.14484,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
24,1,24,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage",2012-12-18,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Newport Hills,Newport,47.555598,-122.184409,53,033,024701,53033024701,247.01,Census Tract 247.01,G5020,S,2739207,0,+47.5614775,-122.1808594,30173.28144
25,1,25,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, 17088 Se 58Th St Bellevue Wa",2013-04-17,SOLARCITY CORPORATION,105,Newcastle,Cougar Mountain / Lakemont,47.550857,-122.112411,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
26,1,26,2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage",2016-06-14,ELECTRI-CITY INC,110,Bridle Trails,Bridle Trails,47.639171,-122.162112,53,033,023700,53033023700,237,Census Tract 237,G5020,S,7530638,18305,+47.6327201,-122.1733574,44098.86056
27,1,27,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-10-05,FARRINGTON ELECTRIC LLC,112,Newport Hills,Newport,47.558956,-122.183487,53,033,024701,53033024701,247.01,Census Tract 247.01,G5020,S,2739207,0,+47.5614775,-122.1808594,30173.28144
28,1,28,2013,Single family,A Single Family Residential Repair or Replacement Project Installing {1 Vehicle Charging Station},2014-02-27,ACTIVE ENGINEERING,105,Newcastle,Cougar Mountain / Lakemont,47.547054,-122.115552,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
29,1,29,2013,Single family,A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station),2013-12-30,OWNER,105,Northeast Bellevue,Northeast Bellevue,47.637686,-122.115503,53,033,022901,53033022901,229.01,Census Tract 229.01,G5020,S,1484063,0,+47.6366077,-122.1183943,19264.04212
30,1,30,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-10-27,NORTHWEST ELECTRIC & SOLAR,108,Bridle Trails,Bridle Trails,47.639914,-122.153606,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
31,1,31,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), GARAGE (SE#327065), ADD CIRCUIT/RECEPTACLE FOR VEHICLE CHARGING",2014-02-13,SEAHURST ELECTRIC INC,58,Newcastle,Cougar Mountain / Lakemont,47.551398,-122.104115,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
32,1,32,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station and 1 200 AMP Panel Change),2016-04-25,ELECTRI-CITY INC,110,Southeast Bellevue,Lake Hills,47.607609,-122.13449,53,033,023300,53033023300,233,Census Tract 233,G5020,S,3589676,248744,+47.6003452,-122.1289619,28242.6615
33,1,33,2015,Single family,"Single family residential electrical work related to addition including 2 clothes dryer, 2 washer, 4 fans, 2 feeder, 1 garbage disposal, 78 light fixtures, 1 200  AMP panel, 58 receptacles, 8 resistance heaters, 1 service change, 4kitchen appliance, 3 smoke detectors, 37 switches, 1 vehicle charging station, 3 240v floor heat",2015-11-10,SUNSHINE ELECTRIC INC,836,Factoria,Somerset,47.566435,-122.157756,53,033,024901,53033024901,249.01,Census Tract 249.01,G5020,S,3183749,0,+47.5633033,-122.1575188,30570.04849
34,1,34,2017,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-09,OWNER,112,Newcastle,Eastgate,47.563467,-122.117299,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
35,1,35,2016,Single family,"Install 5 added/altered branch circuits, 5 light fixtures, 11 receptacles, 2 switches, 1 vehicle charging station, 1 electric heater",2016-05-10,SHORE ELECTRIC INC,208,Eastgate,Eastgate,47.577796,-122.146268,53,033,024800,53033024800,248,Census Tract 248,G5020,S,3775702,0,+47.5743916,-122.1521009,42358.52973
36,1,36,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-06-07,SEATOWN ELECTRIC CORP,112,North Bellevue,Northwest Bellevue,47.616907,-122.209732,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
37,1,37,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage/electrical room",2012-09-17,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Richards Valley,Woodridge,47.597376,-122.177695,53,033,023500,53033023500,235,Census Tract 235,G5020,S,2273132,0,+47.5913824,-122.1728599,21843.19463
38,1,38,2016,Single family,Vehicle Charging Station,2016-10-25,NORTHWEST ELECTRIC & SOLAR,110,Newcastle,Eastgate,47.564133,-122.124263,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
39,1,39,2014,Single family,Install circuit to accommodate EV charger.,2014-12-29,SEAHURST ELECTRIC INC,106,Newcastle,Cougar Mountain / Lakemont,47.551732,-122.137088,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
40,1,40,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car charging station install,2011-09-12,PRIME ELECTRIC INC,98,Newcastle,West Lake Sammamish,47.575898,-122.112159,53,033,023403,53033023403,234.03,Census Tract 234.03,G5020,S,3308890,1972210,+47.5817847,-122.1151458,37216.96137
41,1,41,2016,Single family,"A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station), INTERIOR, 200 amp panel change, Circuit for Car charger",2016-04-11,BEL-RED ELECTRIC SERVICE INC,110,Southeast Bellevue,Lake Hills,47.608057,-122.123823,53,033,023300,53033023300,233,Census Tract 233,G5020,S,3589676,248744,+47.6003452,-122.1289619,28242.6615
42,1,42,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-01,PUGET SOUND SOLAR LLC,105,Northeast Bellevue,Northeast Bellevue,47.645379,-122.113105,53,033,022901,53033022901,229.01,Census Tract 229.01,G5020,S,1484063,0,+47.6366077,-122.1183943,19264.04212
43,1,43,2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), garage",2016-04-11,BELLEVUE ELECTRIC INC,110,Factoria,Somerset,47.553163,-122.161955,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
44,1,44,2013,Single family,A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station),2014-05-22,ACTIVE ENGINEERING,105,Newcastle,Cougar Mountain / Lakemont,47.550244,-122.128373,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
45,1,45,2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage, Car Charger in Garage",2016-02-10,TITAN ELECTRIC INC,110,Newport Hills,Newport,47.550115,-122.172229,53,033,025001,53033025001,250.01,Census Tract 250.01,G5020,S,3531217,28798,+47.5380627,-122.1693928,39024.04961
46,1,46,2017,Single family,A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-11-07,NORTHSTAR ELECTRICAL LLC,112,Southwest Bellevue,West Bellevue,47.580609,-122.192533,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
47,1,47,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charging Station Install.,2012-04-02,PRIME ELECTRIC INC,98,North Bellevue,Northwest Bellevue,47.634541,-122.192781,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
48,1,48,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-01-26,GREEN CONCEPTS LLC,110,Southeast Bellevue,Lake Hills,47.593803,-122.153459,53,033,023604,53033023604,236.04,Census Tract 236.04,G5020,S,2940216,0,+47.5993896,-122.1539499,27994.02792
49,1,49,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-31,ALT ELECTRIC LLC,115,Crossroads,Crossroads,47.625827,-122.142752,53,033,023201,53033023201,232.01,Census Tract 232.01,G5020,S,1589789,0,+47.6186062,-122.1375409,18583.74069
50,1,50,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-23,ELECTRI-CITY INC,112,Newcastle,Cougar Mountain / Lakemont,47.53816,-122.113588,53,033,025006,53033025006,250.06,Census Tract 250.06,G5020,S,22393618,0,+47.5269219,-122.0986860,70001.76379
51,1,51,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-30,ELECTRI-CITY INC,110,North Bellevue,Northwest Bellevue,47.624977,-122.192911,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
52,1,52,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-08-03,LINDER ELECTRIC INC,112,North Bellevue,Northwest Bellevue,47.618516,-122.207849,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
53,1,53,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-02-21,SEATOWN ELECTRIC CORP,112,North Bellevue,Northwest Bellevue,47.63345,-122.199098,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
54,1,54,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-04-24,ELECTRI-CITY INC,112,Northeast Bellevue,West Lake Sammamish,47.615743,-122.102002,53,033,023000,53033023000,230,Census Tract 230,G5020,S,3286160,2508903,+47.6205810,-122.1031787,42037.02737
55,1,55,2016,Multifamily,Service and EV Charging Station *adding a service disconnect and EV charger - 30 amps - fault current less than 10k* Plan Review Waiver*,2016-09-19,SKICO ELECTRIC INC,280,Factoria,Factoria,47.571063,-122.163997,53,033,024800,53033024800,248,Census Tract 248,G5020,S,3775702,0,+47.5743916,-122.1521009,42358.52973
56,1,56,2017,Multifamily,A Single Family Condo Unit Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2018-01-16,NORTHWEST ELECTRIC & SOLAR,112,Newcastle,Cougar Mountain / Lakemont,47.542668,-122.126922,53,033,025006,53033025006,250.06,Census Tract 250.06,G5020,S,22393618,0,+47.5269219,-122.0986860,70001.76379
57,1,57,2015,Single family,Vehicle charging station,2016-02-03,NORTHWEST ELECTRIC & SOLAR,108,Newcastle,Cougar Mountain / Lakemont,47.558312,-122.129337,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
58,1,58,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-03-10,AS YOU WISH ELECTRIC,108,Newcastle,Cougar Mountain / Lakemont,47.546799,-122.125752,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
59,1,59,2016,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2016-08-03,IN-HOUSE ELECTRICAL SRVCS INC,110,Northeast Bellevue,Northeast Bellevue,47.614046,-122.111869,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
60,1,60,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-02-15,PROVIDENT ELECTRIC INC,115,Factoria,Newport,47.567422,-122.188712,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
61,1,61,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-13,NORTHWEST ELECTRIC & SOLAR,108,Crossroads,Crossroads,47.626767,-122.128894,53,033,023202,53033023202,232.02,Census Tract 232.02,G5020,S,1470662,0,+47.6179632,-122.1270727,18211.66833
62,1,62,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage",2012-11-09,PUGET SOUND SOLAR LLC,102,Southeast Bellevue,West Lake Sammamish,47.5948,-122.118312,53,033,023300,53033023300,233,Census Tract 233,G5020,S,3589676,248744,+47.6003452,-122.1289619,28242.6615
63,1,63,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage, Install Blink EVSE on S. Wall of garage.",2013-03-13,LADY ELECTRIC LLC,105,North Bellevue,Northwest Bellevue,47.631044,-122.204143,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
64,1,64,2011,Single family,A Single-Family Alteration project installing { Service Change }  JOB # 11-114906IE - New serive for EV charging station,2012-04-30,PRIME ELECTRIC INC,126,Newcastle,West Lake Sammamish,47.575898,-122.112159,53,033,023403,53033023403,234.03,Census Tract 234.03,G5020,S,3308890,1972210,+47.5817847,-122.1151458,37216.96137
65,1,65,2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage, Garage",2015-06-23,ALL WIRE ELECTRIC INC,108,Newcastle,Cougar Mountain / Lakemont,47.549694,-122.112405,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
66,1,66,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charging Station Install,2011-07-15,PRIME ELECTRIC INC,98,Newcastle,Cougar Mountain / Lakemont,47.560806,-122.13502,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
67,1,67,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-10,ELECTRI-CITY INC,110,Richards Valley,Woodridge,47.593859,-122.172503,53,033,023500,53033023500,235,Census Tract 235,G5020,S,2273132,0,+47.5913824,-122.1728599,21843.19463
68,1,68,2015,Multifamily,"A Multifamily Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station, 1 Added or Altered Branch Circuits), Parking garage stall 129",2016-02-25,NORTHWEST EDISON INC,116,Wilburton/ne 8th St,Wilburton,47.608887,-122.182811,53,033,023601,53033023601,236.01,Census Tract 236.01,G5020,S,4602566,0,+47.6104586,-122.1719138,29387.58056
69,1,69,2017,Single family,Install vehicle charging station.,2017-06-01,NORTHWEST ELECTRIC & SOLAR,112,Newcastle,Cougar Mountain / Lakemont,47.551257,-122.109165,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
70,1,70,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Installation,2011-07-01,PRIME ELECTRIC INC,71,Newport Hills,Newport,47.545781,-122.18955,53,033,024702,53033024702,247.02,Census Tract 247.02,G5020,S,6392898,797574,+47.5396242,-122.1897607,42350.3129
71,1,71,2014,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2014-04-25,NORTHWEST ELECTRIC & SOLAR,106,Newcastle,Cougar Mountain / Lakemont,47.547887,-122.121423,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
72,1,72,2015,Single family,Vehicle Charging Station and pool/hot tub/spa,2015-06-17,NORTHWEST ELECTRIC & SOLAR,173,Southeast Bellevue,West Lake Sammamish,47.601981,-122.111641,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
73,1,73,2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage, EV Charger Installation",2011-10-26,PRIME ELECTRIC INC,98,Crossroads,Crossroads,47.623539,-122.136702,53,033,023201,53033023201,232.01,Census Tract 232.01,G5020,S,1589789,0,+47.6186062,-122.1375409,18583.74069
74,1,74,2017,Single family,"A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), 17-106554 br",2017-11-16,A/C ELECTRICAL INC,112,North Bellevue,Northwest Bellevue,47.626545,-122.208386,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
75,1,75,2017,Single family,A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-27,PUGET SOUND SOLAR LLC,112,Newcastle,Cougar Mountain / Lakemont,47.564028,-122.129054,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
76,1,76,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charger Installation,2011-08-26,PRIME ELECTRIC INC,98,Southeast Bellevue,Lake Hills,47.594099,-122.157491,53,033,023604,53033023604,236.04,Census Tract 236.04,G5020,S,2940216,0,+47.5993896,-122.1539499,27994.02792
77,1,77,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, installation of electric vehicle charger",2012-06-08,MCKINSTRY ELECTRIC,102,Northeast Bellevue,Northeast Bellevue,47.636834,-122.117408,53,033,022901,53033022901,229.01,Census Tract 229.01,G5020,S,1484063,0,+47.6366077,-122.1183943,19264.04212
78,1,78,2017,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2017-04-18,ACTIVE ENGINEERING,112,Newcastle,Cougar Mountain / Lakemont,47.545674,-122.117712,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
79,1,79,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Driveway, EVSE on exterior",2013-10-16,PUGET SOUND SOLAR LLC,105,North Bellevue,Northwest Bellevue,47.631892,-122.199296,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
80,1,80,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage, Owner is Joshua Siegel (206) 715-1663",2012-10-19,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Newcastle,Eastgate,47.565903,-122.122134,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
