PERMIT YEAR,Class,PROJECT DESCRIPTION,FINALED DATE,CONTRACTOR,TOTAL PAID,SUBAREA,NEIGHBORHOOD AREA,Lat,Lon
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station),2018-10-25,STRANDS ELECTRIC LLC,115,Wilburton/ne 8th St,Crossroads,47.623675,-122.146814
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage, install EVSE",2013-04-05,PUGET SOUND SOLAR LLC,105,Factoria,Somerset,47.569229,-122.156446
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), GARAGE (se#328895), ADD CIRCUIT FOR TESLA EV CHARGING",2015-09-28,SEAHURST ELECTRIC INC,58,Newcastle,Cougar Mountain / Lakemont,47.558485,-122.116934
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage, 1145081 - EV charger adjacent to electrical panel in garage",2014-07-18,PRIME ELECTRIC INC WAYNE TYRRELL,106,Newport Hills,Newport,47.5512,-122.189481
2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station), My home, Adding two 40 amp 240 V circuits dedicated for electric car chargers",2016-07-22,OWNER,213,Bridle Trails,Bridle Trails,47.634858,-122.169245
2016,Single family,Install Vehicle Charging Station,2017-01-10,NORTHWEST ELECTRIC & SOLAR,110,Southwest Bellevue,West Bellevue,47.597961,-122.200391
2016,Single family,"A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage amd masterbedroom, 15-123554",2016-10-28,Prowire Electric,110,North Bellevue,Northwest Bellevue,47.634715,-122.195129
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-31,ELECTRI-CITY INC,112,Northeast Bellevue,Northeast Bellevue,47.621611,-122.099367
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-10-19,BELLEVUE ELECTRIC INC,112,Factoria,Newport,47.571642,-122.183554
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-08-22,OWNER,112,Newcastle,Cougar Mountain / Lakemont,47.544651,-122.117706
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Please call Derek 1 hour prior 206.755.6725",2016-02-25,NORTHWEST ELECTRIC & SOLAR,106,Factoria,Somerset,47.5608,-122.165334
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-02-21,ELECTRI-CITY INC,112,Southwest Bellevue,West Bellevue,47.592982,-122.201164
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-30,PUGET SOUND SOLAR LLC,112,Eastgate,Lake Hills,47.589589,-122.155451
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-26,LINDER ELECTRIC INC,115,Richards Valley,Woodridge,47.591076,-122.166718
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-29,ELECTRI-CITY INC,110,Northeast Bellevue,Northeast Bellevue,47.644581,-122.1121
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), WIRE 50AMP, 240V CIRCUIT FOR CAR CHARGER",2017-10-17,PROVIDENT ELECTRIC INC,108,North Bellevue,Northwest Bellevue,47.624208,-122.196828
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-02-15,Red's Electrical Service Inc,112,Newcastle,Cougar Mountain / Lakemont,47.564367,-122.110842
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage/Family Room",2012-09-18,PRIME ELECTRIC INC,102,Southeast Bellevue,Lake Hills,47.592726999999996,-122.145912
2018,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2018-10-29,IN-HOUSE ELECTRICAL SRVCS INC,115,Newcastle,Eastgate,47.568123,-122.132279
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-14,PUGET SOUND SOLAR LLC,105,Factoria,Newport,47.570553,-122.189568
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-28,NW ELECTRICAL LLC,110,Newport Hills,Newport,47.542208,-122.176613
2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, GARAGE",2012-01-04,HOLMES ELECTRIC CO,98,Factoria,Newport,47.572625,-122.179507
2015,Single family,Vehicle Charging Station,2015-08-04,NORTHWEST ELECTRIC & SOLAR,108,Factoria,Somerset,47.560298,-122.14484
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage",2012-12-18,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Newport Hills,Newport,47.555598,-122.184409
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, 17088 Se 58Th St Bellevue Wa",2013-04-17,SOLARCITY CORPORATION,105,Newcastle,Cougar Mountain / Lakemont,47.550857,-122.112411
2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage",2016-06-14,ELECTRI-CITY INC,110,Bridle Trails,Bridle Trails,47.639171,-122.162112
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-10-05,FARRINGTON ELECTRIC LLC,112,Newport Hills,Newport,47.558956,-122.183487
2013,Single family,A Single Family Residential Repair or Replacement Project Installing {1 Vehicle Charging Station},2014-02-27,ACTIVE ENGINEERING,105,Newcastle,Cougar Mountain / Lakemont,47.547054,-122.115552
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station),2013-12-30,OWNER,105,Northeast Bellevue,Northeast Bellevue,47.637686,-122.115503
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-10-27,NORTHWEST ELECTRIC & SOLAR,108,Bridle Trails,Bridle Trails,47.639914,-122.153606
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), GARAGE (SE#327065), ADD CIRCUIT/RECEPTACLE FOR VEHICLE CHARGING",2014-02-13,SEAHURST ELECTRIC INC,58,Newcastle,Cougar Mountain / Lakemont,47.551398,-122.104115
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station and 1 200 AMP Panel Change),2016-04-25,ELECTRI-CITY INC,110,Southeast Bellevue,Lake Hills,47.607609,-122.13449
2015,Single family,"Single family residential electrical work related to addition including 2 clothes dryer, 2 washer, 4 fans, 2 feeder, 1 garbage disposal, 78 light fixtures, 1 200  AMP panel, 58 receptacles, 8 resistance heaters, 1 service change, 4kitchen appliance, 3 smoke detectors, 37 switches, 1 vehicle charging station, 3 240v floor heat",2015-11-10,SUNSHINE ELECTRIC INC,836,Factoria,Somerset,47.566435,-122.157756
2017,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-09,OWNER,112,Newcastle,Eastgate,47.563467,-122.117299
2016,Single family,"Install 5 added/altered branch circuits, 5 light fixtures, 11 receptacles, 2 switches, 1 vehicle charging station, 1 electric heater",2016-05-10,SHORE ELECTRIC INC,208,Eastgate,Eastgate,47.577796,-122.146268
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-06-07,SEATOWN ELECTRIC CORP,112,North Bellevue,Northwest Bellevue,47.616907,-122.209732
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage/electrical room",2012-09-17,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Richards Valley,Woodridge,47.597376,-122.177695
2016,Single family,Vehicle Charging Station,2016-10-25,NORTHWEST ELECTRIC & SOLAR,110,Newcastle,Eastgate,47.564133,-122.124263
2014,Single family,Install circuit to accommodate EV charger.,2014-12-29,SEAHURST ELECTRIC INC,106,Newcastle,Cougar Mountain / Lakemont,47.551732,-122.137088
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car charging station install,2011-09-12,PRIME ELECTRIC INC,98,Newcastle,West Lake Sammamish,47.575898,-122.112159
2016,Single family,"A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station), INTERIOR, 200 amp panel change, Circuit for Car charger",2016-04-11,BEL-RED ELECTRIC SERVICE INC,110,Southeast Bellevue,Lake Hills,47.608057,-122.123823
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-01,PUGET SOUND SOLAR LLC,105,Northeast Bellevue,Northeast Bellevue,47.645379,-122.113105
2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), garage",2016-04-11,BELLEVUE ELECTRIC INC,110,Factoria,Somerset,47.553163,-122.161955
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station),2014-05-22,ACTIVE ENGINEERING,105,Newcastle,Cougar Mountain / Lakemont,47.550244,-122.128373
2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage, Car Charger in Garage",2016-02-10,TITAN ELECTRIC INC,110,Newport Hills,Newport,47.550115,-122.172229
2017,Single family,A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-11-07,NORTHSTAR ELECTRICAL LLC,112,Southwest Bellevue,West Bellevue,47.580609,-122.192533
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charging Station Install.,2012-04-02,PRIME ELECTRIC INC,98,North Bellevue,Northwest Bellevue,47.634541,-122.192781
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-01-26,GREEN CONCEPTS LLC,110,Southeast Bellevue,Lake Hills,47.593803,-122.153459
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-10-31,ALT ELECTRIC LLC,115,Crossroads,Crossroads,47.625827,-122.142752
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-23,ELECTRI-CITY INC,112,Newcastle,Cougar Mountain / Lakemont,47.53816,-122.113588
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-30,ELECTRI-CITY INC,110,North Bellevue,Northwest Bellevue,47.624977,-122.192911
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-08-03,LINDER ELECTRIC INC,112,North Bellevue,Northwest Bellevue,47.618516,-122.207849
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-02-21,SEATOWN ELECTRIC CORP,112,North Bellevue,Northwest Bellevue,47.63345,-122.199098
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-04-24,ELECTRI-CITY INC,112,Northeast Bellevue,West Lake Sammamish,47.615743,-122.102002
2016,Multifamily,Service and EV Charging Station *adding a service disconnect and EV charger - 30 amps - fault current less than 10k* Plan Review Waiver*,2016-09-19,SKICO ELECTRIC INC,280,Factoria,Factoria,47.571063,-122.163997
2017,Multifamily,A Single Family Condo Unit Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2018-01-16,NORTHWEST ELECTRIC & SOLAR,112,Newcastle,Cougar Mountain / Lakemont,47.542668,-122.126922
2015,Single family,Vehicle charging station,2016-02-03,NORTHWEST ELECTRIC & SOLAR,108,Newcastle,Cougar Mountain / Lakemont,47.558312,-122.129337
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-03-10,AS YOU WISH ELECTRIC,108,Newcastle,Cougar Mountain / Lakemont,47.546799,-122.125752
2016,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2016-08-03,IN-HOUSE ELECTRICAL SRVCS INC,110,Northeast Bellevue,Northeast Bellevue,47.614046,-122.111869
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-02-15,PROVIDENT ELECTRIC INC,115,Factoria,Newport,47.567422,-122.188712
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-13,NORTHWEST ELECTRIC & SOLAR,108,Crossroads,Crossroads,47.626767,-122.128894
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage",2012-11-09,PUGET SOUND SOLAR LLC,102,Southeast Bellevue,West Lake Sammamish,47.5948,-122.118312
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage, Install Blink EVSE on S. Wall of garage.",2013-03-13,LADY ELECTRIC LLC,105,North Bellevue,Northwest Bellevue,47.631044,-122.204143
2011,Single family,A Single-Family Alteration project installing { Service Change }  JOB # 11-114906IE - New serive for EV charging station,2012-04-30,PRIME ELECTRIC INC,126,Newcastle,West Lake Sammamish,47.575898,-122.112159
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage, Garage",2015-06-23,ALL WIRE ELECTRIC INC,108,Newcastle,Cougar Mountain / Lakemont,47.549694,-122.112405
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charging Station Install,2011-07-15,PRIME ELECTRIC INC,98,Newcastle,Cougar Mountain / Lakemont,47.560806,-122.13502
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-10,ELECTRI-CITY INC,110,Richards Valley,Woodridge,47.593859,-122.172503
2015,Multifamily,"A Multifamily Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station, 1 Added or Altered Branch Circuits), Parking garage stall 129",2016-02-25,NORTHWEST EDISON INC,116,Wilburton/ne 8th St,Wilburton,47.608887,-122.182811
2017,Single family,Install vehicle charging station.,2017-06-01,NORTHWEST ELECTRIC & SOLAR,112,Newcastle,Cougar Mountain / Lakemont,47.551257,-122.109165
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Installation,2011-07-01,PRIME ELECTRIC INC,71,Newport Hills,Newport,47.545781,-122.18955
2014,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2014-04-25,NORTHWEST ELECTRIC & SOLAR,106,Newcastle,Cougar Mountain / Lakemont,47.547887,-122.121423
2015,Single family,Vehicle Charging Station and pool/hot tub/spa,2015-06-17,NORTHWEST ELECTRIC & SOLAR,173,Southeast Bellevue,West Lake Sammamish,47.601981,-122.111641
2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage, EV Charger Installation",2011-10-26,PRIME ELECTRIC INC,98,Crossroads,Crossroads,47.623539,-122.136702
2017,Single family,"A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), 17-106554 br",2017-11-16,A/C ELECTRICAL INC,112,North Bellevue,Northwest Bellevue,47.626545,-122.208386
2017,Single family,A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-27,PUGET SOUND SOLAR LLC,112,Newcastle,Cougar Mountain / Lakemont,47.564028,-122.129054
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charger Installation,2011-08-26,PRIME ELECTRIC INC,98,Southeast Bellevue,Lake Hills,47.594099,-122.157491
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, installation of electric vehicle charger",2012-06-08,MCKINSTRY ELECTRIC,102,Northeast Bellevue,Northeast Bellevue,47.636834,-122.117408
2017,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2017-04-18,ACTIVE ENGINEERING,112,Newcastle,Cougar Mountain / Lakemont,47.545674,-122.117712
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Driveway, EVSE on exterior",2013-10-16,PUGET SOUND SOLAR LLC,105,North Bellevue,Northwest Bellevue,47.631892,-122.199296
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage, Owner is Joshua Siegel (206) 715-1663",2012-10-19,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Newcastle,Eastgate,47.565903,-122.122134
2017,Single family,A Single Family Residential Addition to Existing Structure Project Installing {1-Vehicle Charging Station},2017-09-14,NORTHWEST ELECTRIC & SOLAR,112,Richards Valley,Woodridge,47.589586,-122.171167
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charger Installation,2011-09-07,PRIME ELECTRIC INC,98,Southwest Bellevue,West Bellevue,47.589955,-122.193782
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-10-20,PUGET SOUND SOLAR LLC,110,Newcastle,Cougar Mountain / Lakemont,47.542043,-122.125152
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-07,PUGET SOUND SOLAR LLC,105,Newcastle,Eastgate,47.567639,-122.128627
2017,Single family,A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-10-13,SHORELINE ELECTRIC INC,112,Bridle Trails,Bridle Trails,47.638425,-122.174335
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-12-26,ARTISAN ELECTRIC INC,112,Wilburton/ne 8th St,Wilburton,47.616468,-122.165005
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station),2014-01-07,Centaur Electric LLC,105,Newport Hills,Newport,47.559334,-122.180648
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage and electrical room, installation of a electric vehicle charging station",2014-05-22,PUGET SOUND SOLAR LLC,106,Newcastle,Eastgate,47.56866,-122.125827
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station),2013-09-05,ACTIVE ENGINEERING,105,Bridle Trails,Bridle Trails,47.650306,-122.157388
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-07-14,NORTHWEST ELECTRIC & SOLAR,108,Newcastle,Somerset,47.546196,-122.141099
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station) **Add on 2 added/altered branch circuits, 1 125 amp sub-panel",2015-06-16,S M E INC OF SEATTLE,108,Newcastle,Cougar Mountain / Lakemont,47.563321,-122.131147
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-04-20,ELECTRI-CITY INC,112,Newport Hills,Newport,47.547501,-122.193322
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-01-14,PUGET SOUND SOLAR LLC,108,North Bellevue,Northwest Bellevue,47.623279,-122.19276
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-12-14,S M E INC OF SEATTLE,112,Newcastle,Cougar Mountain / Lakemont,47.540856,-122.111245
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Installing dedicated circuit for vehical charging station",2015-01-14,ZAPP ELECTRIC OF SEATTLE LLC,108,Factoria,Newport,47.568889,-122.190422
2017,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2017-10-06,OHM ELECTRICAL CONTRACTING LLC,112,Newcastle,Cougar Mountain / Lakemont,47.542918,-122.121758
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charging Station Install,2011-04-18,PRIME ELECTRIC INC,98,Bridle Trails,Bridle Trails,47.646315,-122.161317
2014,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2016-02-24,OWNER,106,North Bellevue,Northwest Bellevue,47.624555,-122.207036
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage, EVSE",2013-01-02,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Newport Hills,Newport,47.54486,-122.190594
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage, Install 50 Amp Outlet",2012-12-05,SOLARCITY CORPORATION,102,Factoria,Newport,47.57006,-122.190749
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-01-21,NORTHWEST ELECTRIC & SOLAR,108,Newcastle,Cougar Mountain / Lakemont,47.556789,-122.124107
2015,Single family,"Installation of 14.56 kW solar photovoltaic system to be installed on roof of residence. Installation will consist of 52 Itek Energy 280W solar panels, 1 Itek Energy PVI-7600TL, and 1 Itek Energy PVI-5200TL. In addition, one circuit will be installed for possible future electric vehicle charging station.",2015-08-27,PUGET SOUND SOLAR LLC,378,Newcastle,Cougar Mountain / Lakemont,47.561649,-122.134206
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-10-15,24/7 ELECTRICAL COMPANY,108,Factoria,Newport,47.571662,-122.178912
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-05-05,ARTISAN ELECTRIC INC,112,North Bellevue,Northwest Bellevue,47.625081,-122.206328
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage",2013-02-04,PUGET SOUND SOLAR LLC,105,Wilburton/ne 8th St,Wilburton,47.603067,-122.168031
2017,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station} A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station} A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2017-11-29,NORTHWEST ELECTRIC & SOLAR,112,Crossroads,Crossroads,47.626724,-122.128762
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-11-30,SEAHURST ELECTRIC INC,112,Newcastle,Somerset,47.551069,-122.140411
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage (SE# 328005), Install 1450R for EV Charging",2014-06-05,SEAHURST ELECTRIC INC,58,Southeast Bellevue,Lake Hills,47.596075,-122.134508
2017,Single family,"Added/Altered branch circuits, light fixtures, receptacles, switches, Vehicle charging station - Work part of new owners remodel (Post Issuance revision on BS)",2017-11-27,SCHULTZ ELECTRIC LLC,378,Southwest Bellevue,West Bellevue,47.581779,-122.188604
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-05-06,HILL ELECTRIC CORPORATION,108,Bridle Trails,Bridle Trails,47.649518,-122.14976
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, GARAGE, 50 AMP / 240 V APPLIANCE OUTLET",2013-02-27,BEL-RED ELECTRIC SERVICE INC,105,North Bellevue,Northwest Bellevue,47.634282,-122.207059
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-02,A&R Solar,108,Southeast Bellevue,West Lake Sammamish,47.601663,-122.112182
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-05-02,PRIME ELECTRIC INC,98,Northeast Bellevue,Northeast Bellevue,47.621982,-122.108243
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage/electrical room, evse",2012-10-11,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Southwest Bellevue,West Bellevue,47.595522,-122.201906
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charging Station,2011-04-06,PRIME ELECTRIC INC,98,Richards Valley,Woodridge,47.600195,-122.177083
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-12-11,ELECTRI-CITY INC,108,Newcastle,Cougar Mountain / Lakemont,47.551868,-122.132614
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station), work will be done in the inside of the home",2013-11-01,PUGET SOUND SOLAR LLC,105,Northeast Bellevue,Northeast Bellevue,47.639031,-122.114117
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-10-30,NORTHWEST ELECTRIC & SOLAR,108,Southeast Bellevue,West Lake Sammamish,47.594094,-122.11174
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-05-10,BELLEVUE ELECTRIC INC,112,Newport Hills,Newport,47.553533,-122.172699
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Range or Oven, 2 Added or Altered Branch Circuits), Garage of Home, Could not select car charger and range.",2015-05-11,Wickman Electric,228,Northeast Bellevue,Northeast Bellevue,47.632293,-122.118128
2017,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2017-04-03,IN-HOUSE ELECTRICAL SRVCS INC,112,Northeast Bellevue,Northeast Bellevue,47.615703,-122.114828
2012,Single family,Install vehicle charging station.,2012-12-21,APPLE STATE ELECTRIC INC,102,Northeast Bellevue,West Lake Sammamish,47.615206,-122.103156
2012,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station},2013-07-01,GREENWOOD-PHINNEY ELECT CO INC,102,Southwest Bellevue,West Bellevue,47.600881,-122.205618
2015,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2015-02-11,NORTHWEST ELECTRIC & SOLAR,108,Southwest Bellevue,West Bellevue,47.588943,-122.202731
2016,Multifamily,Vehicle charging station.,2016-06-13,ABM Elect & Lighting Sol Inc,316,North Bellevue,Northwest Bellevue,47.637199,-122.198818
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger install,2011-06-22,PRIME ELECTRIC INC,98,Newcastle,West Lake Sammamish,47.585504,-122.111354
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), garage, electrical room",2014-05-08,PUGET SOUND SOLAR LLC,106,Bridle Trails,Bridle Trails,47.644079,-122.16829
2015,Single family,Vehicle Charging Station,2015-07-14,NORTHWEST ELECTRIC & SOLAR,108,Newcastle,Cougar Mountain / Lakemont,47.548472,-122.121439
2016,Multifamily,Add car chargers on parking levelP7,2017-04-18,PRIME ELECTRIC INC,1343,Downtown,Downtown,47.616195,-122.193582
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Added or Altered Branch Circuits), garage, 100 amp 240 volt car charger circuit",2016-03-29,123 Electric Service Inc,86,Newcastle,Cougar Mountain / Lakemont,47.550537,-122.104157
